Customer Id,Claim
H0,1
H10000,1
H10001,1
H10002,1
H10003,1
H10009,1
H1001,1
H10010,1
H10011,1
H10012,1
H10013,1
H10015,1
H10016,1
H10019,1
H10022,1
H10023,1
H10025,1
H10026,1
H10027,1
H10028,1
H10029,1
H10030,1
H10031,1
H10032,1
H10033,1
H10034,1
H10035,1
H10036,1
H10037,1
H10039,1
H10041,1
H10042,1
H10044,1
H10047,1
H1005,1
H10051,1
H10052,1
H10053,1
H10054,1
H10055,1
H10056,1
H10057,1
H10058,1
H10059,1
H10062,1
H10063,1
H10064,1
H10065,1
H10066,1
H10067,1
H10069,1
H10073,1
H10074,1
H10075,1
H10077,1
H10079,1
H1008,1
H10080,1
H10081,1
H10082,1
H10085,1
H10089,1
H1009,1
H10092,1
H10094,1
H10095,1
H10096,1
H10097,1
H10098,1
H10099,1
H1010,1
H10101,1
H10102,1
H10104,1
H10105,1
H10107,1
H10109,1
H10111,1
H10112,1
H10115,1
H10116,1
H10118,1
H10119,1
H1012,1
H10120,1
H10121,1
H10122,1
H10123,1
H10125,1
H10126,1
H10127,1
H10128,1
H10129,1
H10130,1
H10131,1
H10132,1
H10133,1
H10134,1
H10135,1
H10136,1
H10137,1
H10138,1
H10139,1
H10141,1
H10142,1
H10143,1
H10145,1
H10146,1
H10147,1
H10148,1
H1015,1
H10151,1
H10155,1
H10156,1
H10157,1
H10159,1
H10162,1
H10163,1
H10164,1
H10165,1
H10166,1
H10173,1
H10174,1
H10175,1
H10176,1
H10177,1
H10178,1
H10180,1
H10181,1
H10182,1
H10185,1
H10186,1
H10187,1
H10188,1
H10189,1
H1019,1
H10191,1
H10193,1
H10194,1
H10200,1
H10202,1
H10204,1
H10206,1
H1021,1
H10210,1
H10212,1
H10213,1
H10216,1
H10217,1
H10219,1
H10220,1
H10228,1
H10229,1
H1023,1
H10231,1
H10232,1
H10234,1
H10235,1
H10236,1
H10237,1
H10239,1
H10240,1
H10241,1
H10242,1
H10243,1
H10245,1
H10246,1
H10247,1
H10248,1
H10249,1
H1025,1
H10251,1
H10253,1
H10254,1
H10255,1
H10256,1
H10257,1
H10259,1
H10260,1
H10261,1
H10265,1
H10266,1
H10273,1
H10274,1
H10280,1
H10281,1
H10283,1
H10284,1
H10286,1
H1029,1
H10290,1
H10292,1
H10293,1
H10294,1
H10295,1
H10296,1
H10299,1
H10302,1
H10305,1
H10306,1
H10307,1
H10308,1
H10309,1
H10311,1
H10312,1
H10313,1
H10314,1
H10315,1
H10317,1
H10326,1
H10327,1
H10330,1
H10331,1
H10332,1
H10333,1
H10334,1
H10337,1
H10338,1
H1034,1
H10341,1
H10342,1
H10343,1
H10344,1
H10345,1
H10346,1
H10347,1
H10348,1
H10349,1
H1035,1
H10350,1
H10352,1
H10353,1
H10355,1
H10356,1
H10357,1
H10358,1
H10360,1
H10361,1
H10366,1
H10369,1
H1037,1
H10373,1
H10374,1
H10375,1
H10377,1
H10378,1
H10379,1
H10381,1
H10383,1
H10384,1
H10389,1
H1039,1
H10392,1
H10393,1
H10394,1
H10395,1
H10396,1
H10398,1
H10399,1
H104,1
H10400,1
H10402,1
H10403,1
H10406,1
H10408,1
H10409,1
H10412,1
H10413,1
H10416,1
H10417,1
H10418,1
H10419,1
H1042,1
H10420,1
H10423,1
H10426,1
H10429,1
H1043,1
H10430,1
H10431,1
H10432,1
H10433,1
H10434,1
H10435,1
H10436,1
H10437,1
H10441,1
H10442,1
H10443,1
H10447,1
H10449,1
H1045,1
H10450,1
H10455,1
H10459,1
H1046,1
H10463,1
H10464,1
H10469,1
H1047,1
H10474,1
H10475,1
H1048,1
H105,1
H1050,1
H10502,1
H10503,1
H10506,1
H10507,1
H1051,1
H10515,1
H10517,1
H1052,1
H10521,1
H10522,1
H10523,1
H10525,1
H10526,1
H10527,1
H10528,1
H10529,1
H10530,1
H10531,1
H10532,1
H10534,1
H10536,1
H10537,1
H10538,1
H10539,1
H10541,1
H10545,1
H10547,1
H10549,1
H10550,1
H10551,1
H10552,1
H10553,1
H10554,1
H1056,1
H10565,1
H10566,1
H10576,1
H10577,1
H10579,1
H10580,1
H10582,1
H10584,1
H10585,1
H10586,1
H10588,1
H10589,1
H1059,1
H10590,1
H10591,1
H10597,1
H10598,1
H106,1
H1060,1
H10603,1
H10607,1
H10608,1
H10609,1
H10610,1
H10615,1
H10616,1
H10617,1
H10620,1
H10624,1
H10625,1
H10626,1
H10627,1
H10628,1
H10629,1
H1063,1
H10633,1
H10634,1
H10635,1
H10636,1
H10638,1
H1064,1
H10640,1
H10641,1
H10643,1
H10644,1
H10647,1
H10649,1
H10651,1
H10654,1
H10655,1
H10656,1
H10657,1
H10658,1
H10661,1
H10662,1
H10663,1
H10666,1
H10667,1
H1067,1
H10670,1
H10671,1
H10672,1
H10674,1
H10675,1
H10676,1
H10677,1
H10678,1
H10679,1
H1068,1
H10680,1
H10683,1
H10685,1
H10686,1
H10688,1
H10692,1
H10693,1
H10695,1
H10696,1
H10697,1
H10698,1
H107,1
H10700,1
H10703,1
H10704,1
H10705,1
H10707,1
H10711,1
H10715,1
H10716,1
H10718,1
H10719,1
H1072,1
H10723,1
H10724,1
H10728,1
H10729,1
H1073,1
H10730,1
H10733,1
H10737,1
H10739,1
H1074,1
H10740,1
H10742,1
H10744,1
H10749,1
H1075,1
H10750,1
H10751,1
H10752,1
H10753,1
H10754,1
H10758,1
H10760,1
H10763,1
H10764,1
H10766,1
H10768,1
H10769,1
H10770,1
H10771,1
H10772,1
H10775,1
H10777,1
H10779,1
H1078,1
H10781,1
H10783,1
H10784,1
H10785,1
H10786,1
H10788,1
H10789,1
H10791,1
H10799,1
H10800,1
H10803,1
H10804,1
H10805,1
H10806,1
H10808,1
H1081,1
H10811,1
H10813,1
H10814,1
H10817,1
H10818,1
H10819,1
H10820,1
H10821,1
H10823,1
H10824,1
H10825,1
H10826,1
H10827,1
H10828,1
H10830,1
H10833,1
H10835,1
H10838,1
H1084,1
H10840,1
H10841,1
H10842,1
H10843,1
H10844,1
H10845,1
H10847,1
H10848,1
H10849,1
H10850,1
H10851,1
H10855,1
H10857,1
H10859,1
H10862,1
H10869,1
H10870,1
H10871,1
H10872,1
H10873,1
H10874,1
H10875,1
H10876,1
H10877,1
H10878,1
H10879,1
H1088,1
H10880,1
H10885,1
H10886,1
H10889,1
H10890,1
H10891,1
H10894,1
H10895,1
H109,1
H10900,1
H10902,1
H10903,1
H10905,1
H10906,1
H10908,1
H10910,1
H10911,1
H10913,1
H10915,1
H10916,1
H10917,1
H10918,1
H10920,1
H10921,1
H10922,1
H10925,1
H10930,1
H10931,1
H10932,1
H10933,1
H10935,1
H10936,1
H10937,1
H10938,1
H10939,1
H10942,1
H10944,1
H10946,1
H10949,1
H1095,1
H10950,1
H10951,1
H10952,1
H10954,1
H10955,1
H10957,1
H1096,1
H10961,1
H10962,1
H10963,1
H10964,1
H1097,1
H10970,1
H10972,1
H10973,1
H10974,1
H10975,1
H10976,1
H10977,1
H10981,1
H10982,1
H10983,1
H10985,1
H10988,1
H10991,1
H10992,1
H10993,1
H11003,1
H11005,1
H11006,1
H11007,1
H11013,1
H11014,1
H11017,1
H11018,1
H1102,1
H11022,1
H11028,1
H11029,1
H11030,1
H11031,1
H11035,1
H11036,1
H11040,1
H11041,1
H11047,1
H11048,1
H11049,1
H11050,1
H11051,1
H11052,1
H11054,1
H11055,1
H11058,1
H11059,1
H11063,1
H11064,1
H11066,1
H11067,1
H11070,1
H11071,1
H11072,1
H11073,1
H11075,1
H11076,1
H11077,1
H11082,1
H11083,1
H11084,1
H11089,1
H11091,1
H11093,1
H11095,1
H11096,1
H11097,1
H11098,1
H11101,1
H11102,1
H11106,1
H11110,1
H11111,1
H11113,1
H11115,1
H11117,1
H11118,1
H11119,1
H11121,1
H11123,1
H11124,1
H11125,1
H11127,1
H11129,1
H11130,1
H11131,1
H11132,1
H11135,1
H11136,1
H1114,1
H11140,1
H11141,1
H11142,1
H11143,1
H11144,1
H11145,1
H11146,1
H11147,1
H11148,1
H11149,1
H11150,1
H11153,1
H11155,1
H11156,1
H11158,1
H11159,1
H11160,1
H11161,1
H11162,1
H11163,1
H11165,1
H11166,1
H11168,1
H11169,1
H1117,1
H11172,1
H11173,1
H11174,1
H11177,1
H11178,1
H11181,1
H11182,1
H11184,1
H11186,1
H11187,1
H11188,1
H11189,1
H1119,1
H11190,1
H11191,1
H11199,1
H11200,1
H11201,1
H11203,1
H11204,1
H11206,1
H11207,1
H11210,1
H11211,1
H11212,1
H11213,1
H11214,1
H11215,1
H11216,1
H11217,1
H11218,1
H11219,1
H1122,1
H11220,1
H11221,1
H11226,1
H11227,1
H11228,1
H11229,1
H11234,1
H11235,1
H11242,1
H11245,1
H11247,1
H11248,1
H11249,1
H1125,1
H11250,1
H11251,1
H11252,1
H11254,1
H11255,1
H1126,1
H11264,1
H11267,1
H11268,1
H11269,1
H1127,1
H11273,1
H11274,1
H11275,1
H11277,1
H11279,1
H1128,1
H11281,1
H11284,1
H11287,1
H11289,1
H1129,1
H11290,1
H11291,1
H11292,1
H11295,1
H11296,1
H11299,1
H1130,1
H11302,1
H11303,1
H11304,1
H11305,1
H11307,1
H11308,1
H11309,1
H1131,1
H11311,1
H11313,1
H11314,1
H11315,1
H11316,1
H11317,1
H11318,1
H11319,1
H11321,1
H11322,1
H11324,1
H11325,1
H11326,1
H11327,1
H11329,1
H1133,1
H11331,1
H11332,1
H11333,1
H11336,1
H11339,1
H11340,1
H11341,1
H11345,1
H11346,1
H11350,1
H11351,1
H11353,1
H11355,1
H11356,1
H1136,1
H11361,1
H11362,1
H11363,1
H11364,1
H11365,1
H11368,1
H11369,1
H11370,1
H11371,1
H11372,1
H11375,1
H11376,1
H11378,1
H11379,1
H11381,1
H11382,1
H11385,1
H11386,1
H11387,1
H1139,1
H11390,1
H11391,1
H11394,1
H11397,1
H11398,1
H11400,1
H11401,1
H11402,1
H11404,1
H11406,1
H11407,1
H11408,1
H1141,1
H11415,1
H11416,1
H11417,1
H11419,1
H1142,1
H11420,1
H11423,1
H11426,1
H11427,1
H11429,1
H1143,1
H11430,1
H11431,1
H11433,1
H11435,1
H11436,1
H11437,1
H11439,1
H11440,1
H11443,1
H11445,1
H11446,1
H11449,1
H11450,1
H11452,1
H11453,1
H11454,1
H11455,1
H11456,1
H11459,1
H1146,1
H11462,1
H11464,1
H11465,1
H11468,1
H1147,1
H11473,1
H11474,1
H11476,1
H11477,1
H11478,1
H1148,1
H11480,1
H11481,1
H11482,1
H11483,1
H11484,1
H11486,1
H11488,1
H11490,1
H11494,1
H11495,1
H11496,1
H11497,1
H11498,1
H11499,1
H11500,1
H11501,1
H11502,1
H11508,1
H11509,1
H1151,1
H11510,1
H11511,1
H11512,1
H11513,1
H11518,1
H11519,1
H1152,1
H11521,1
H11522,1
H11523,1
H11524,1
H11525,1
H11528,1
H11530,1
H11531,1
H11532,1
H11534,1
H11535,1
H11536,1
H11541,1
H11544,1
H11545,1
H11546,1
H11547,1
H11548,1
H11549,1
H11550,1
H11551,1
H11554,1
H11557,1
H11558,1
H11562,1
H11563,1
H11564,1
H11565,1
H11566,1
H11568,1
H11569,1
H1157,1
H11570,1
H11574,1
H11577,1
H11581,1
H11582,1
H11583,1
H11584,1
H11588,1
H1159,1
H11590,1
H11592,1
H11593,1
H11594,1
H11598,1
H1160,1
H11603,1
H11605,1
H11606,1
H11607,1
H11612,1
H11613,1
H11614,1
H11615,1
H11616,1
H11622,1
H11624,1
H11625,1
H11626,1
H11628,1
H1163,1
H11630,1
H11631,1
H11632,1
H11634,1
H11639,1
H1164,1
H11640,1
H11643,1
H11645,1
H11646,1
H11647,1
H11648,1
H1165,1
H11650,1
H11651,1
H11652,1
H11653,1
H11655,1
H11656,1
H11658,1
H11659,1
H1166,1
H11661,1
H11663,1
H11665,1
H11667,1
H11669,1
H1167,1
H11673,1
H11674,1
H11675,1
H11677,1
H11679,1
H11680,1
H11681,1
H11684,1
H11685,1
H11686,1
H11688,1
H11689,1
H1169,1
H11693,1
H11696,1
H11698,1
H117,1
H1170,1
H11701,1
H11702,1
H11703,1
H11706,1
H11707,1
H11708,1
H11709,1
H1171,1
H11710,1
H11711,1
H11712,1
H11713,1
H11714,1
H11715,1
H11716,1
H11717,1
H11719,1
H1172,1
H11720,1
H11721,1
H11725,1
H11726,1
H11727,1
H11729,1
H1173,1
H11730,1
H11731,1
H11737,1
H1174,1
H11740,1
H11742,1
H11743,1
H11744,1
H11745,1
H11747,1
H11748,1
H1175,1
H11750,1
H11755,1
H11757,1
H11760,1
H11761,1
H11762,1
H11765,1
H11766,1
H11767,1
H11768,1
H1177,1
H11772,1
H11773,1
H11776,1
H11782,1
H11784,1
H11785,1
H11786,1
H11787,1
H11788,1
H11789,1
H11790,1
H11791,1
H11793,1
H11794,1
H11795,1
H11796,1
H11797,1
H11798,1
H1180,1
H11803,1
H11804,1
H11809,1
H1181,1
H11810,1
H11811,1
H11814,1
H11815,1
H11817,1
H1182,1
H11823,1
H11824,1
H1183,1
H11830,1
H11831,1
H11832,1
H11833,1
H11834,1
H11836,1
H11837,1
H11839,1
H1184,1
H11840,1
H11842,1
H11846,1
H11847,1
H1185,1
H11850,1
H11854,1
H11859,1
H1186,1
H11860,1
H11865,1
H11866,1
H11868,1
H11869,1
H1187,1
H11870,1
H11873,1
H11876,1
H11877,1
H11879,1
H1188,1
H11880,1
H11882,1
H11884,1
H11885,1
H11886,1
H11887,1
H11888,1
H1189,1
H11892,1
H11893,1
H11894,1
H11896,1
H11897,1
H11898,1
H119,1
H1190,1
H11900,1
H11901,1
H11903,1
H11904,1
H11905,1
H11907,1
H11908,1
H11909,1
H11913,1
H11915,1
H11917,1
H11918,1
H11920,1
H11921,1
H11922,1
H11923,1
H11925,1
H11927,1
H1193,1
H11932,1
H11933,1
H11935,1
H11936,1
H11937,1
H11939,1
H1194,1
H11940,1
H11941,1
H11942,1
H11943,1
H11945,1
H11946,1
H11948,1
H11949,1
H1195,1
H11950,1
H11952,1
H11953,1
H11955,1
H1196,1
H11960,1
H11961,1
H11963,1
H11965,1
H1197,1
H11973,1
H11974,1
H11978,1
H11979,1
H1198,1
H11980,1
H11983,1
H11987,1
H11988,1
H1199,1
H11990,1
H11991,1
H11992,1
H11993,1
H11994,1
H11995,1
H11996,1
H11998,1
H11999,1
H1200,1
H12001,1
H12003,1
H12004,1
H12006,1
H12008,1
H1201,1
H12012,1
H12015,1
H12017,1
H12019,1
H12022,1
H1203,1
H12034,1
H12036,1
H12037,1
H12039,1
H12043,1
H12044,1
H12045,1
H12046,1
H12047,1
H12048,1
H1205,1
H12050,1
H12051,1
H12053,1
H12054,1
H12056,1
H12057,1
H12059,1
H1206,1
H12060,1
H12061,1
H12062,1
H12068,1
H1207,1
H12071,1
H12072,1
H12074,1
H1208,1
H12080,1
H12081,1
H12082,1
H12086,1
H1209,1
H12090,1
H12091,1
H1210,1
H12102,1
H12103,1
H12106,1
H12107,1
H12108,1
H12111,1
H12112,1
H12113,1
H12114,1
H12118,1
H12121,1
H12122,1
H12124,1
H12125,1
H12126,1
H12127,1
H12129,1
H12132,1
H12134,1
H12136,1
H1214,1
H12141,1
H12142,1
H12143,1
H12148,1
H1215,1
H12151,1
H12152,1
H12154,1
H12155,1
H12156,1
H12160,1
H12161,1
H12162,1
H12164,1
H12166,1
H1217,1
H12170,1
H12171,1
H12172,1
H12173,1
H12174,1
H12176,1
H12177,1
H12178,1
H1218,1
H12180,1
H12183,1
H12184,1
H12186,1
H12187,1
H12188,1
H12189,1
H1219,1
H12190,1
H12191,1
H12196,1
H12197,1
H12199,1
H122,1
H12206,1
H12207,1
H12209,1
H12212,1
H12213,1
H12217,1
H1222,1
H12228,1
H12230,1
H12231,1
H12232,1
H12234,1
H12236,1
H12237,1
H12238,1
H12239,1
H1224,1
H12240,1
H12242,1
H12243,1
H1225,1
H12252,1
H1226,1
H12262,1
H12263,1
H12268,1
H1227,1
H12282,1
H12285,1
H1229,1
H12293,1
H12294,1
H12296,1
H123,1
H12300,1
H12304,1
H12306,1
H12307,1
H12312,1
H12313,1
H12316,1
H12328,1
H12329,1
H1233,1
H12330,1
H12331,1
H12332,1
H12333,1
H12334,1
H12335,1
H12339,1
H12343,1
H12344,1
H12345,1
H12346,1
H12349,1
H1235,1
H12350,1
H12351,1
H12358,1
H1236,1
H12360,1
H12361,1
H12362,1
H12363,1
H12367,1
H12368,1
H12369,1
H1237,1
H12370,1
H12371,1
H12375,1
H12376,1
H12380,1
H12383,1
H12384,1
H12388,1
H1239,1
H12394,1
H12396,1
H12397,1
H124,1
H12402,1
H12408,1
H12409,1
H12412,1
H12413,1
H12414,1
H12415,1
H12416,1
H12418,1
H1242,1
H12420,1
H12424,1
H12425,1
H12426,1
H12427,1
H12428,1
H1243,1
H12430,1
H12431,1
H12433,1
H12436,1
H12437,1
H12438,1
H12439,1
H1244,1
H12445,1
H12447,1
H12448,1
H12449,1
H1245,1
H12450,1
H12452,1
H12453,1
H12454,1
H12456,1
H12457,1
H1246,1
H12465,1
H12466,1
H1247,1
H12483,1
H12484,1
H12485,1
H12486,1
H12490,1
H12491,1
H12496,1
H12499,1
H125,1
H12501,1
H12506,1
H12507,1
H12512,1
H12513,1
H12515,1
H12516,1
H12518,1
H12519,1
H12522,1
