total_bill,tip,gender,smoker,day,time,size
2125.5,360.79,Male,No,Thur,Lunch,1
2727.18,259.42,Female,No,Sun,Dinner,5
1066.02,274.68,Female,Yes,Thur,Dinner,4
3493.45,337.9,Female,No,Sun,Dinner,1
3470.56,567.89,Male,Yes,Sun,Lunch,6
2411.08,296.48,Female,Yes,Thur,Lunch,2
4607.43,374.96,Female,No,Thur,Dinner,4
1165.21,700.87,Female,No,Mon,Dinner,2
2895.04,347.71,Male,No,Sat,Dinner,5
2622.54,253.97,Male,Yes,Thur,Lunch,6
2572.4,499.22,Male,No,Wed,Lunch,2
1602.3,336.81,Male,Yes,Wed,Lunch,1
1888.97,451.26,Female,No,Tues,Lunch,3
2643.25,541.73,Male,No,Sun,Dinner,6
1899.87,213.64,Male,Yes,Fri,Dinner,4
2358.76,156.96,Female,Yes,Mon,Lunch,1
3374.64,401.12,Male,Yes,Tues,Lunch,1
2353.31,555.9,Male,Yes,Sun,Lunch,4
2655.24,276.86,Female,Yes,Mon,Dinner,1
3660.22,151.51,Female,Yes,Sat,Lunch,6
614.76,510.12,Female,Yes,Sun,Dinner,4
2536.43,330.27,Female,Yes,Thur,Dinner,1
3305.97,352.07,Female,No,Sat,Lunch,4
1767.98,279.04,Male,Yes,Tues,Lunch,6
2691.21,415.29,Female,Yes,Thur,Lunch,1
1721.11,408.75,Female,Yes,Fri,Lunch,5
2451.41,395.67,Female,No,Sat,Dinner,3
2290.09,131.89,Female,Yes,Mon,Lunch,4
257.24,525.38,Female,No,Sat,Dinner,3
3617.71,301.93,Male,No,Sun,Lunch,1
2118.96,475.24,Male,Yes,Sat,Dinner,6
1157.58,421.83,Male,Yes,Wed,Dinner,1
1305.82,676.89,Female,No,Thur,Lunch,1
1085.64,737.93,Female,Yes,Sat,Dinner,2
1739.64,229.99,Male,No,Wed,Dinner,3
1406.1,176.58,Female,No,Mon,Lunch,1
2483.02,386.95,Female,Yes,Sat,Dinner,1
2580.03,591.87,Male,No,Thur,Dinner,2
1366.86,468.7,Female,Yes,Mon,Lunch,4
2510.27,370.6,Female,Yes,Wed,Dinner,5
1831.2,338.99,Male,No,Mon,Lunch,3
2578.94,292.12,Female,Yes,Tues,Dinner,6
1434.44,413.11,Female,Yes,Mon,Lunch,3
975.55,101.37,Male,No,Sun,Lunch,5
2456.86,140.61,Male,Yes,Wed,Lunch,6
2358.76,648.55,Female,Yes,Sat,Lunch,4
3815,166.77,Female,Yes,Wed,Dinner,4
2474.3,378.23,Female,No,Wed,Dinner,5
2263.93,456.71,Male,Yes,Thur,Lunch,3
1358.14,323.73,Male,No,Fri,Lunch,4
1216.44,129.71,Male,Yes,Thur,Lunch,1
2285.73,232.17,Male,No,Fri,Lunch,4
3080.34,204.92,Male,No,Sat,Dinner,4
2891.77,265.96,Female,Yes,Mon,Lunch,5
3793.2,365.15,Male,Yes,Tues,Dinner,1
3021.48,208.19,Male,Yes,Wed,Lunch,2
2438.33,281.22,Male,No,Thur,Dinner,3
1755.99,416.38,Male,No,Tues,Lunch,6
1612.11,595.14,Male,No,Fri,Lunch,3
3054.18,300.84,Male,Yes,Sat,Dinner,4
2390.37,495.95,Female,No,Thur,Lunch,2
1626.28,328.09,Female,No,Wed,Lunch,6
2135.31,420.74,Female,No,Tues,Lunch,5
2966.98,114.45,Female,No,Wed,Lunch,6
3144.65,245.25,Male,No,Fri,Lunch,6
3641.69,347.71,Male,No,Wed,Dinner,2
2253.03,385.86,Female,Yes,Sat,Lunch,4
2344.59,367.33,Female,No,Sat,Lunch,6
3394.26,329.18,Male,No,Fri,Lunch,1
2803.48,491.59,Female,Yes,Sun,Dinner,6
2736.99,494.86,Female,Yes,Wed,Lunch,5
2059.01,54.5,Female,No,Tues,Dinner,1
784.8,415.29,Male,No,Sat,Dinner,6
1933.66,286.67,Female,Yes,Mon,Lunch,3
1568.51,529.74,Female,No,Sun,Lunch,2
1769.07,490.5,Female,No,Sun,Lunch,3
3724.53,162.41,Male,Yes,Tues,Dinner,4
3943.62,564.62,Female,No,Mon,Dinner,1
2463.4,158.05,Female,Yes,Thur,Lunch,5
2738.08,231.08,Female,Yes,Sat,Dinner,3
1152.13,206.01,Male,Yes,Tues,Lunch,1
2122.23,336.81,Male,No,Sun,Lunch,3
1638.27,408.75,Male,Yes,Sat,Dinner,4
2792.58,308.47,Female,Yes,Sun,Dinner,5
1407.19,432.73,Male,Yes,Thur,Lunch,3
1704.76,300.84,Female,No,Tues,Lunch,2
2389.28,367.33,Male,No,Tues,Lunch,5
977.73,153.69,Female,Yes,Thur,Dinner,4
1609.93,262.69,Male,Yes,Thur,Lunch,5
2340.23,376.05,Female,Yes,Thur,Dinner,2
2038.3,66.49,Male,Yes,Fri,Lunch,5
3020.39,509.03,Female,No,Thur,Lunch,4
2413.26,202.74,Male,No,Tues,Dinner,3
2078.63,294.3,Female,No,Wed,Dinner,2
1681.87,355.34,Female,Yes,Sat,Dinner,4
1595.76,378.23,Male,No,Tues,Lunch,1
2742.44,259.42,Male,Yes,Wed,Lunch,4
1947.83,422.92,Female,No,Wed,Dinner,1
3714.72,323.73,Male,Yes,Fri,Dinner,3
2583.3,312.83,Female,Yes,Fri,Lunch,2
5279.96,234.35,Male,Yes,Tues,Lunch,2
317.19,380.41,Female,No,Tues,Lunch,4
3771.4,440.36,Female,Yes,Tues,Lunch,5
524.29,592.96,Female,No,Thur,Dinner,5
2692.3,440.36,Male,Yes,Tues,Dinner,6
2770.78,449.08,Female,Yes,Sat,Dinner,5
2956.08,120.99,Female,Yes,Wed,Dinner,4
2442.69,297.57,Male,No,Thur,Lunch,1
1866.08,602.77,Male,Yes,Sat,Dinner,3
3091.24,353.16,Female,Yes,Mon,Lunch,1
3168.63,514.48,Female,No,Sat,Dinner,4
1716.75,449.08,Female,No,Tues,Lunch,3
1425.72,180.94,Male,Yes,Sun,Dinner,3
830.58,262.69,Male,Yes,Mon,Dinner,5
2813.29,502.49,Male,No,Mon,Lunch,5
1459.51,64.31,Female,No,Mon,Lunch,1
2187.63,361.88,Male,Yes,Fri,Lunch,5
1934.75,478.51,Male,No,Thur,Dinner,5
1370.13,505.76,Male,Yes,Tues,Dinner,6
4140.91,408.75,Male,Yes,Sun,Lunch,3
296.48,487.23,Male,No,Sat,Lunch,4
1856.27,172.22,Female,Yes,Tues,Lunch,1
1164.12,279.04,Female,No,Sat,Lunch,4
3219.86,344.44,Female,Yes,Fri,Lunch,6
1981.62,406.57,Male,Yes,Tues,Dinner,6
3420.42,455.62,Female,Yes,Thur,Lunch,1
2950.63,538.46,Female,No,Mon,Dinner,4
3712.54,547.18,Female,No,Wed,Dinner,2
2394.73,208.19,Female,Yes,Wed,Lunch,6
1798.5,334.63,Female,No,Tues,Dinner,3
1347.24,316.1,Male,Yes,Thur,Dinner,3
2547.33,311.74,Female,No,Thur,Dinner,5
2986.6,261.6,Female,No,Fri,Lunch,5
2206.16,268.14,Female,Yes,Fri,Lunch,2
3597,401.12,Female,Yes,Sun,Lunch,5
1036.59,298.66,Female,Yes,Mon,Dinner,4
3453.12,180.94,Female,Yes,Sat,Lunch,3
3921.82,492.68,Female,No,Sun,Lunch,3
1409.37,235.44,Male,No,Wed,Dinner,3
2282.46,500.31,Male,Yes,Thur,Lunch,4
2262.84,449.08,Female,No,Tues,Dinner,3
1995.79,141.7,Female,Yes,Mon,Dinner,1
2233.41,628.93,Male,No,Mon,Dinner,6
213.64,301.93,Male,No,Fri,Dinner,3
2442.69,404.39,Female,Yes,Sun,Lunch,1
916.69,492.68,Female,Yes,Sun,Lunch,2
3092.33,204.92,Male,Yes,Fri,Lunch,2
1288.38,246.34,Female,Yes,Sat,Dinner,2
2455.77,163.5,Male,Yes,Fri,Lunch,4
1674.24,4.36,Female,No,Wed,Dinner,4
1626.28,255.06,Female,Yes,Sat,Lunch,5
1533.63,268.14,Male,Yes,Mon,Lunch,1
1394.11,183.12,Male,No,Tues,Dinner,1
2868.88,440.36,Male,Yes,Tues,Lunch,6
3622.07,229.99,Male,Yes,Mon,Lunch,4
513.39,4.36,Male,Yes,Sat,Dinner,1
323.73,369.51,Female,No,Mon,Lunch,3
1560.88,325.91,Male,No,Wed,Dinner,4
1252.41,456.71,Female,Yes,Mon,Dinner,2
3144.65,600.59,Male,Yes,Tues,Dinner,6
3008.4,580.97,Female,Yes,Tues,Lunch,2
655.09,452.35,Male,Yes,Sun,Lunch,4
2981.15,216.91,Male,No,Sat,Lunch,5
1014.79,523.2,Female,Yes,Sat,Dinner,3
3550.13,352.07,Female,Yes,Sun,Dinner,3
2182.18,128.62,Male,Yes,Thur,Dinner,5
1300.37,56.68,Male,Yes,Sat,Lunch,3
2028.49,347.71,Female,Yes,Mon,Lunch,1
3210.05,330.27,Male,No,Wed,Dinner,6
2720.64,220.18,Male,Yes,Tues,Dinner,1
1747.27,265.96,Female,No,Wed,Dinner,2
2229.05,343.35,Male,No,Thur,Lunch,3
2963.71,456.71,Female,Yes,Thur,Dinner,5
1220.8,768.45,Male,Yes,Tues,Dinner,5
718.31,289.94,Male,Yes,Wed,Dinner,5
2655.24,431.64,Male,No,Wed,Lunch,3
2423.07,149.33,Female,Yes,Sat,Lunch,5
1697.13,486.14,Male,No,Sat,Lunch,6
682.34,383.68,Female,Yes,Tues,Dinner,5
906.88,545,Female,Yes,Mon,Lunch,2
2678.13,475.24,Female,No,Wed,Dinner,3
1091.09,295.39,Male,No,Wed,Dinner,6
1914.04,306.29,Female,Yes,Fri,Dinner,5
2653.06,473.06,Female,No,Tues,Dinner,6
3440.04,159.14,Male,No,Sat,Dinner,2
2878.69,424.01,Female,Yes,Mon,Lunch,1
599.5,267.05,Female,Yes,Mon,Lunch,4
2030.67,19.62,Female,Yes,Mon,Dinner,6
3025.84,239.8,Female,Yes,Tues,Lunch,4
356.43,104.64,Female,Yes,Sun,Lunch,1
899.25,360.79,Female,Yes,Sun,Lunch,6
1225.16,206.01,Female,Yes,Sun,Dinner,6
2407.81,182.03,Male,Yes,Mon,Lunch,1
3140.29,248.52,Female,No,Sun,Lunch,5
2627.99,233.26,Male,No,Thur,Lunch,6
909.06,309.56,Male,Yes,Fri,Dinner,6
2946.27,212.55,Male,No,Sat,Lunch,1
1751.63,171.13,Male,Yes,Fri,Lunch,6
1384.3,198.38,Male,No,Tues,Dinner,2
1202.27,337.9,Male,Yes,Wed,Lunch,1
1773.43,279.04,Female,No,Sun,Lunch,3
1711.3,371.69,Male,Yes,Sun,Dinner,5
1624.1,488.32,Male,Yes,Mon,Lunch,6
918.87,211.46,Male,Yes,Sun,Lunch,4
3316.87,327,Female,Yes,Fri,Dinner,3
2793.67,224.54,Male,No,Sat,Lunch,1
2962.62,409.84,Female,No,Mon,Lunch,2
2039.39,227.81,Female,No,Mon,Dinner,4
3394.26,118.81,Female,Yes,Sat,Lunch,6
1151.04,304.11,Female,No,Thur,Dinner,5
2375.11,464.34,Male,Yes,Wed,Lunch,2
2820.92,246.34,Female,Yes,Fri,Lunch,1
3394.26,244.16,Male,Yes,Tues,Dinner,3
2241.04,361.88,Male,Yes,Wed,Dinner,3
3377.91,236.53,Male,Yes,Mon,Dinner,1
1917.31,568.98,Male,No,Fri,Lunch,2
3195.88,452.35,Female,Yes,Thur,Dinner,3
2601.83,495.95,Male,Yes,Tues,Dinner,3
3694.01,294.3,Male,No,Sat,Lunch,6
2317.34,243.07,Female,Yes,Sat,Dinner,2
2460.13,178.76,Female,Yes,Tues,Dinner,5
3603.54,124.26,Male,No,Wed,Lunch,1
2670.5,421.83,Male,No,Tues,Lunch,3
4848.32,355.34,Female,No,Thur,Dinner,1
94.83,385.86,Female,No,Tues,Dinner,2
3611.17,158.05,Male,Yes,Mon,Dinner,6
2211.61,352.07,Male,Yes,Sun,Dinner,1
2406.72,441.45,Female,No,Tues,Dinner,4
2452.5,697.6,Female,No,Sat,Dinner,2
1147.77,248.52,Female,No,Sat,Dinner,4
3844.43,252.88,Female,No,Wed,Dinner,3
867.64,306.29,Female,No,Sun,Dinner,4
3092.33,220.18,Male,Yes,Fri,Lunch,1
2196.35,553.72,Male,No,Wed,Dinner,1
2001.24,356.43,Male,No,Wed,Lunch,6
725.94,320.46,Male,Yes,Fri,Dinner,1
2106.97,360.79,Male,No,Tues,Lunch,2
717.22,87.2,Female,No,Sun,Dinner,2
1264.4,18.53,Male,Yes,Mon,Lunch,5
2898.31,322.64,Male,No,Fri,Lunch,4
1751.63,185.3,Male,No,Sat,Lunch,4
1903.14,208.19,Male,No,Sun,Lunch,2
1916.22,344.44,Male,No,Wed,Lunch,2
3400.8,63.22,Female,Yes,Tues,Lunch,6
737.93,101.37,Female,Yes,Fri,Dinner,4
2467.76,40.33,Male,No,Fri,Lunch,1
1640.45,331.36,Male,No,Sat,Lunch,1
2938.64,559.17,Male,Yes,Tues,Dinner,6
1341.79,126.44,Female,No,Sat,Lunch,2
1352.69,301.93,Male,No,Wed,Lunch,3
1370.13,210.37,Male,No,Mon,Lunch,3
2636.71,342.26,Female,Yes,Mon,Lunch,1
2997.5,524.29,Female,No,Sat,Lunch,6
3473.83,368.42,Male,No,Sun,Lunch,4
1907.5,140.61,Male,No,Fri,Dinner,2
2050.29,262.69,Female,No,Tues,Dinner,4
2392.55,345.53,Female,Yes,Fri,Dinner,2
2072.09,269.23,Male,Yes,Sun,Dinner,4
2481.93,95.92,Female,No,Tues,Dinner,5
2415.44,355.34,Male,No,Fri,Lunch,2
2924.47,362.97,Female,No,Tues,Dinner,1
503.58,456.71,Male,No,Fri,Dinner,3
669.26,211.46,Male,No,Sat,Dinner,3
2644.34,346.62,Female,No,Wed,Dinner,6
1869.35,223.45,Male,Yes,Sat,Lunch,1
3212.23,215.82,Female,No,Thur,Dinner,5
271.41,265.96,Male,No,Mon,Lunch,4
2584.39,385.86,Male,Yes,Tues,Dinner,4
1213.17,223.45,Female,Yes,Sat,Lunch,1
3690.74,264.87,Female,Yes,Tues,Lunch,3
1240.42,470.88,Male,No,Thur,Dinner,4
1739.64,284.49,Male,No,Sun,Dinner,3
1536.9,253.97,Male,No,Thur,Dinner,4
2273.74,419.65,Male,Yes,Sun,Dinner,1
2020.86,556.99,Female,No,Fri,Dinner,6
1390.84,70.85,Male,No,Sat,Dinner,2
2484.11,331.36,Female,No,Sun,Lunch,2
1201.18,391.31,Female,Yes,Mon,Dinner,2
3574.11,125.35,Male,No,Mon,Lunch,6
2346.77,139.52,Male,No,Wed,Lunch,1
2693.39,221.27,Female,Yes,Thur,Lunch,6
2050.29,209.28,Female,Yes,Tues,Dinner,4
381.5,497.04,Female,Yes,Mon,Dinner,6
2290.09,486.14,Male,No,Wed,Dinner,1
2427.43,247.43,Female,Yes,Tues,Lunch,2
2153.84,299.75,Female,Yes,Wed,Dinner,3
2804.57,320.46,Female,No,Sat,Lunch,1
1018.06,429.46,Female,Yes,Tues,Lunch,2
1700.4,401.12,Male,No,Fri,Lunch,5
1829.02,463.25,Male,No,Wed,Dinner,5
3210.05,545,Male,No,Mon,Lunch,4
340.08,224.54,Female,No,Tues,Lunch,5
3392.08,378.23,Male,Yes,Mon,Lunch,2
2118.96,246.34,Female,No,Mon,Dinner,4
3230.76,325.91,Male,Yes,Sun,Dinner,2
2612.73,149.33,Female,Yes,Thur,Dinner,3
2692.3,393.49,Male,No,Mon,Dinner,4
97.01,385.86,Female,Yes,Wed,Lunch,4
733.57,15.26,Male,Yes,Sun,Dinner,6
2619.27,263.78,Female,No,Sat,Dinner,4
240.89,559.17,Male,Yes,Fri,Dinner,1
3587.19,391.31,Male,Yes,Mon,Dinner,2
1381.03,438.18,Male,Yes,Thur,Dinner,6
2636.71,178.76,Female,Yes,Thur,Lunch,3
2566.95,285.58,Male,No,Sun,Dinner,6
1742.91,379.32,Female,No,Sat,Dinner,3
2350.04,361.88,Female,No,Sun,Lunch,4
369.51,215.82,Male,Yes,Sat,Lunch,6
3377.91,320.46,Female,No,Fri,Lunch,4
4097.31,236.53,Female,Yes,Sun,Dinner,5
570.07,379.32,Male,No,Thur,Dinner,6
2509.18,130.8,Male,No,Tues,Lunch,3
2788.22,224.54,Male,Yes,Mon,Dinner,3
1982.71,566.8,Female,No,Sun,Dinner,4
2218.15,92.65,Female,Yes,Thur,Lunch,3
2163.65,318.28,Male,Yes,Wed,Lunch,4
3008.4,188.57,Female,No,Tues,Dinner,2
2755.52,476.33,Female,No,Thur,Lunch,5
2094.98,353.16,Male,No,Mon,Lunch,4
3047.64,68.67,Female,Yes,Wed,Dinner,2
2770.78,106.82,Female,Yes,Wed,Lunch,5
2343.5,606.04,Male,Yes,Wed,Lunch,3
1656.8,457.8,Female,No,Wed,Lunch,4
1121.61,248.52,Male,No,Wed,Lunch,6
2320.61,216.91,Female,Yes,Mon,Dinner,4
2655.24,218,Female,No,Sat,Dinner,3
1842.1,175.49,Female,No,Tues,Lunch,3
2985.51,282.31,Male,No,Fri,Lunch,5
94.83,214.73,Male,No,Thur,Dinner,3
2418.71,588.6,Female,No,Sat,Lunch,4
118.81,218,Male,Yes,Fri,Lunch,1
1839.92,220.18,Female,No,Sat,Dinner,5
2350.04,301.93,Male,Yes,Mon,Lunch,3
4116.93,197.29,Female,No,Sat,Dinner,2
1906.41,156.96,Female,Yes,Sun,Dinner,4
1347.24,417.47,Male,Yes,Wed,Dinner,3
1522.73,452.35,Female,No,Wed,Lunch,1
1276.39,251.79,Male,No,Fri,Lunch,3
1867.17,511.21,Male,Yes,Thur,Lunch,1
3913.1,347.71,Male,Yes,Sun,Lunch,1
3023.66,261.6,Male,No,Wed,Lunch,3
3243.84,59.95,Female,No,Tues,Lunch,1
3581.74,128.62,Female,Yes,Wed,Dinner,1
4260.81,259.42,Male,No,Sun,Dinner,6
3333.22,554.81,Female,Yes,Sat,Dinner,3
1191.37,341.17,Male,Yes,Thur,Dinner,1
1461.69,252.88,Male,Yes,Tues,Lunch,3
1879.16,119.9,Male,No,Wed,Dinner,3
376.05,630.02,Male,No,Mon,Lunch,3
2333.69,477.42,Female,Yes,Mon,Lunch,1
2565.86,378.23,Female,No,Thur,Dinner,5
1966.36,625.66,Female,No,Tues,Dinner,2
2451.41,292.12,Female,No,Fri,Lunch,1
3157.73,321.55,Male,No,Thur,Lunch,6
3973.05,279.04,Male,Yes,Tues,Lunch,4
1730.92,468.7,Male,Yes,Wed,Dinner,3
2139.67,143.88,Male,No,Fri,Dinner,2
2004.51,272.5,Female,Yes,Fri,Dinner,5
1395.2,624.57,Male,No,Thur,Dinner,4
1791.96,336.81,Female,No,Wed,Dinner,2
58.86,333.54,Male,No,Thur,Dinner,4
2170.19,294.3,Female,Yes,Thur,Lunch,4
2536.43,324.82,Female,Yes,Thur,Dinner,4
260.51,336.81,Female,Yes,Sun,Dinner,4
996.26,398.94,Female,No,Sat,Lunch,3
214.73,457.8,Female,No,Mon,Lunch,2
1281.84,336.81,Male,Yes,Sun,Lunch,6
